Word,Count
balloon,266
avoid,237
biggie,200
blaring,200
buds,194
banging,157
chrome,142
caffeine,136
brake,111
aquarium,109
appalling,106
ballwin,106
bleach,94
brewing,88
accomodating,88
brush,86
brewhouse,85
burritos,85
appalled,84
combine,84
clutch,81
advantage,80
coleslaw,75
chargrilled,74
color,72
bingo,70
carving,69
clam,68
booklet,68
assured,66
account,66
accomodate,66
abrupt,63
aa,63
chosen,63
baba,62
balcony,58
carp,58
bursting,56
breeding,55
coke,55
chase,55
agave,54
chickpea,54
bleh,54
bridge,54
blended,53
borrow,53
chose,51
chilli,51
antiques,50
chronic,50
500,50
blowout,49
beard,49
brain,49
certified,48
blonde,48
cars,47
career,45
captain,45
avail,45
baker,43
cigarettes,43
changing,43
access,43
appeals,43
62,43
cola,43
arguing,43
axxess,42
bus,39
20mins,39
attractive,39
anti,38
amc,38
bok,38
727,38
anxious,37
blake,37
cattle,37
carpaccio,37
busiest,37
appt,36
calendar,36
01,36
apple,36
afterthought,35
9am,35
ahold,35
az,34
carrier,34
antibiotics,34
chest,34
buzzing,33
barrier,33
bowling,32
collections,32
chart,32
barbers,32
